ers_code,ers_name,ers_date,ers_quarter,decision_cutoff_utc,join_status,snapshot_id,provenance,snapshot_usable_from_utc,snapshot_generated_at_utc,lag_hours,snapshot_status,snapshot_max_asset_staleness_days,source_artifact_id,source_run_id
4441,トビラシステムズ,2026-06-10,2Q,2026-06-10 00:00:00 UTC,ok,MCTX-20260609T231118Z,historical_artifact_join,2026-06-09 23:11:26 UTC,2026-06-09 23:11:18 UTC,0.81,ok,0,7522455846,27241781179
5032,ANYCOLOR,2026-06-10,4Q/本決算,2026-06-10 00:00:00 UTC,ok,MCTX-20260609T231118Z,historical_artifact_join,2026-06-09 23:11:26 UTC,2026-06-09 23:11:18 UTC,0.81,ok,0,7522455846,27241781179
5132,pluszero,2026-06-10,2Q,2026-06-10 00:00:00 UTC,ok,MCTX-20260609T231118Z,historical_artifact_join,2026-06-09 23:11:26 UTC,2026-06-09 23:11:18 UTC,0.81,ok,0,7522455846,27241781179
9166,GENDA,2026-06-10,1Q,2026-06-10 00:00:00 UTC,ok,MCTX-20260609T231118Z,historical_artifact_join,2026-06-09 23:11:26 UTC,2026-06-09 23:11:18 UTC,0.81,ok,0,7522455846,27241781179
186A,アストロスケールホールディングス,2026-06-12,本決算,2026-06-12 00:00:00 UTC,ok,MCTX-20260611T231441Z,historical_artifact_join,2026-06-11 23:14:50 UTC,2026-06-11 23:14:41 UTC,0.75,ok,1,7579184087,27383429217
2695,くら寿司,2026-06-12,第２四半期,2026-06-12 00:00:00 UTC,ok,MCTX-20260611T231441Z,historical_artifact_join,2026-06-11 23:14:50 UTC,2026-06-11 23:14:41 UTC,0.75,ok,1,7579184087,27383429217
3038,神戸物産,2026-06-12,第２四半期,2026-06-12 00:00:00 UTC,ok,MCTX-20260611T231441Z,historical_artifact_join,2026-06-11 23:14:50 UTC,2026-06-11 23:14:41 UTC,0.75,ok,1,7579184087,27383429217
6966,三井ハイテック,2026-06-12,第２四半期,2026-06-12 00:00:00 UTC,ok,MCTX-20260611T231441Z,historical_artifact_join,2026-06-11 23:14:50 UTC,2026-06-11 23:14:41 UTC,0.75,ok,1,7579184087,27383429217
3480,ジェイ・エス・ビー,2026-06-12,本決算,2026-06-12 00:00:00 UTC,ok,MCTX-20260611T231441Z,historical_artifact_join,2026-06-11 23:14:50 UTC,2026-06-11 23:14:41 UTC,0.75,ok,1,7579184087,27383429217
4996,クミアイ化学工業,2026-06-12,本決算,2026-06-12 00:00:00 UTC,ok,MCTX-20260611T231441Z,historical_artifact_join,2026-06-11 23:14:50 UTC,2026-06-11 23:14:41 UTC,0.75,ok,1,7579184087,27383429217
