date,weights_version,n_signals,n_actionable,rank_changes,action_changes,mean_abs_strength_delta,max_abs_strength_delta,reconstruction_mismatches
2026-07-01,v0-identity,9,2,0,0,0.0,0.0,0
2026-07-02,v0-identity,9,2,0,0,0.0,0.0,0
2026-07-03,v0-identity,9,2,0,0,0.0,0.0,0
2026-07-04,v0-identity,9,2,0,0,0.0,0.0,0
2026-07-05,v0-identity,9,3,0,0,0.0,0.0,0
2026-07-09,v0-identity,9,2,0,0,0.0,0.0,0
2026-07-10,v0-identity,9,3,0,0,0.0,0.0,0
2026-07-11,v0-identity,9,2,0,0,0.0,0.0,0
2026-07-12,v0-identity,9,2,0,0,0.0,0.0,0
2026-07-13,v0-identity,9,1,0,0,0.0,0.0,0
2026-07-14,v0-identity,9,0,0,0,0.0,0.0,0
2026-07-15,v0-identity,10,2,0,0,0.0,0.0,0
2026-07-16,v0-identity,10,1,0,0,0.0,0.0,0
2026-07-17,v0-identity,10,0,0,0,0.0,0.0,0
2026-07-18,v0-identity,10,0,0,0,0.0,0.0,0
2026-07-19,v0-identity,10,0,0,0,0.0,0.0,0
2026-07-20,v0-identity,10,2,0,0,0.0,0.0,0
2026-07-21,v0-identity,10,2,0,0,0.0,0.0,0
2026-07-22,v0-identity,10,2,0,0,0.0,0.0,0
2026-07-23,v0-identity,10,2,0,0,0.0,0.0,0
2026-07-24,v0-identity,10,1,0,0,0.0,0.0,0
2026-07-25,v0-identity,10,1,0,0,0.0,0.0,0
2026-07-26,v0-identity,10,1,0,0,0.0,0.0,0
2026-07-27,v0-identity,10,1,0,0,0.0,0.0,0
2026-07-28,v0-identity,10,1,0,0,0.0,0.0,0
2026-07-29,v0-identity,10,2,0,0,0.0,0.0,0
2026-07-30,v0-identity,10,1,0,0,0.0,0.0,0
2026-07-31,v0-identity,10,2,0,0,0.0,0.0,0
2026-08-01,v0-identity,10,2,0,0,0.0,0.0,0
2026-08-02,v0-identity,10,4,0,0,0.0,0.0,0
2026-08-03,v0-identity,10,3,0,0,0.0,0.0,0
2026-08-04,v0-identity,10,3,0,0,0.0,0.0,0
2026-08-05,v0-identity,10,2,0,0,0.0,0.0,0
2026-08-07,v0-identity,10,2,0,0,0.0,0.0,0
2026-08-08,v0-identity,10,2,0,0,0.0,0.0,0
2026-08-09,v0-identity,10,2,0,0,0.0,0.0,0
